SCC,SCV,DVV,ICP,CCDT,CVCT,ACCV C,ACCV D,ECD,ECV,CCD,CCV,SoH
-0.036910,0.021401,0.597671,1.672920,19.998807,12.166585,3.457493,2.733441,177.202890,8.328205,1.064946,0.041779,0.968367
-0.034435,0.018035,0.511164,2.090034,19.998700,11.583508,3.449129,2.741158,177.727174,6.864157,1.068846,0.034179,0.971299
-0.036032,0.017679,0.489197,2.501027,19.998593,11.416808,3.449148,2.745147,177.952019,6.596471,1.069424,0.032930,0.972883
-0.037657,0.017879,0.441692,2.725223,19.998577,11.332908,3.451380,2.743258,178.366004,6.531263,1.071640,0.032514,0.973920
-0.037564,0.018023,0.441040,2.523050,19.998865,11.250232,3.450928,2.746459,178.474817,6.401487,1.072327,0.031843,0.974694
-0.033257,0.017241,0.456734,2.460276,19.998647,11.166847,3.448983,2.737049,178.570550,6.159687,1.072694,0.030755,0.975020
-0.036549,0.017074,0.453242,1.967447,19.998645,11.166782,3.447426,2.753186,178.615761,6.239541,1.073053,0.031060,0.975397
-0.035951,0.016922,0.454128,2.493474,19.998567,11.166797,3.446161,2.757761,178.258830,6.224704,1.071800,0.031020,0.975316
-0.035885,0.017050,0.454426,2.536945,19.998757,11.166777,3.446626,2.767976,178.588977,6.316092,1.073448,0.031421,0.975719
-0.034434,0.016974,0.442754,2.338696,19.998653,11.083527,3.447075,2.755679,178.639390,6.056346,1.073626,0.030190,0.975912
-0.036597,0.016959,0.448687,2.575506,19.998722,11.083340,3.447488,2.744530,178.551909,6.053947,1.073638,0.030204,0.975874
-0.037745,0.017042,0.438836,2.130047,19.998658,11.083523,3.445402,2.742339,178.656513,6.124114,1.074023,0.030483,0.976219
-0.036512,0.016988,0.418216,2.844628,19.946272,11.083433,3.446751,2.744754,178.528980,6.206374,1.073088,0.030806,0.976550
-0.037476,0.016342,0.437840,2.562456,19.905705,11.000068,3.446015,2.758831,178.701213,5.890803,1.074324,0.029430,0.976547
-0.036294,0.017084,0.434218,2.404361,19.863493,11.000028,3.446458,2.756209,178.806390,5.936105,1.074518,0.029584,0.976760
-0.036095,0.016399,0.430818,2.287998,19.876305,11.000000,3.445821,2.737263,178.784876,5.959397,1.074656,0.029726,0.976848
-0.038085,0.016269,0.455331,2.728325,19.786575,11.000065,3.443896,2.766756,178.787268,5.944544,1.074608,0.029647,0.976842
-0.035861,0.016227,0.437567,2.294523,19.785862,10.999973,3.446700,2.760141,178.648781,6.009879,1.073642,0.029841,0.977063
-0.038071,0.017116,0.431773,2.460639,19.758180,11.000065,3.446622,2.752282,178.711324,5.987157,1.074700,0.029708,0.976940
-0.035923,0.016423,0.428476,2.986628,19.733127,11.000042,3.444427,2.753214,178.810399,5.998199,1.074868,0.029802,0.977043
-0.032299,0.016183,0.415373,2.407627,19.689737,10.916702,3.443344,2.745690,178.852265,5.715400,1.074887,0.028527,0.977131
-0.036414,0.016967,0.405749,2.358197,19.714887,10.916813,3.446157,2.761711,178.721429,5.702861,1.074873,0.028453,0.977052
-0.038622,0.016276,0.447334,2.944344,19.595733,11.000065,3.444059,2.754610,178.479146,5.991510,1.073558,0.029745,0.976983
-0.034371,0.017140,0.428823,2.373034,19.640987,10.916798,3.448969,2.747094,178.691117,5.705862,1.074878,0.028453,0.977071
-0.034030,0.016559,0.439842,2.555410,19.593478,10.916878,3.445625,2.759709,178.549561,5.688318,1.074808,0.028374,0.976990
-0.035143,0.016727,0.404010,2.509585,19.559488,10.916662,3.448775,2.754838,178.747670,5.722158,1.075031,0.028537,0.977167
-0.035560,0.016446,0.433426,2.924248,19.567042,10.916823,3.445422,2.752146,178.840353,5.767637,1.075268,0.028706,0.977380
-0.035563,0.016606,0.435747,2.561030,19.552863,10.916760,3.445869,2.756139,178.404270,5.735893,1.073856,0.028560,0.977244
-0.035220,0.016697,0.422615,2.007989,19.488833,10.916715,3.448144,2.767504,178.720858,5.755981,1.075173,0.028657,0.977328
-0.037439,0.015681,0.400954,2.499560,19.528783,10.916582,3.444557,2.768544,178.742237,5.769470,1.075161,0.028647,0.977353
-0.038582,0.016996,0.438738,2.888667,19.457633,11.000042,3.447510,2.760248,178.483634,6.000546,1.074813,0.029752,0.976964
-0.035401,0.017342,0.444643,2.614028,19.489675,10.916608,3.448047,2.761320,178.606282,5.740734,1.075144,0.028613,0.977257
-0.033811,0.016710,0.424385,2.669800,19.463940,10.916783,3.446063,2.756233,178.394110,5.738774,1.073903,0.028555,0.977231
