Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
1,-3.016615015425597e-07,-1.601575053571342e-08,-4.522853516461808,5.169242216117216,2676.987,4.047820635695956,4.027325123170137,4823.2282,3.631769819883629,0.9017837722494737,5.283679962158205,1.258017778396606,0.9097157311193733
2,2.400240424366717e-07,-1.554350568636399e-08,-4.870462255683847,7.222054741439779,2677.0055,3.790255529501508,4.028035986196555,3758.0037,3.632440567016602,0.9017856718273833,2.503299713134759,0.625824451446533,0.9097125849772969
3,1.357200540521331e-07,-7.142784733267314e-08,-4.293314830219068,6.908128663201632,2676.7592,3.789970514387176,4.028089415590829,3748.4549,3.632472991943303,0.9017857228463986,2.498050689697266,0.6245115995407109,0.9097067842778476
4,1.172587457523881e-07,1.373945086763371e-08,-4.826700738422296,6.706454821174628,2677.0142,3.789802939781114,4.027989290151279,3748.2148,3.632400512695298,0.9017849356750953,2.495018005371094,0.6237534284591681,0.9097060960592682
5,7.144239185627899e-07,-5.090993843832694e-09,-4.895886615525018,7.149013262940101,2676.9307,3.789466155369293,4.028006216676668,3746.5153,3.632392883300795,0.9017854611447544,2.494606018066406,0.6236495971679692,0.9097192705292063
6,2.380672787648548e-07,5.364263704044748e-08,-4.862902696060975,7.786930843174696,2676.9746,3.789342988718019,4.027948341679449,3755.6636,3.632331848144503,0.901784876652528,2.494476318359375,0.6236193180084229,0.9097175008242887
7,2.115515714957659e-07,-1.083333160416571e-08,-4.242826647380643,7.072691392375313,2676.9698,3.789161447261171,4.027892655183167,3741.3383,3.632278442383196,0.901783373003127,2.495719909667898,0.6239300966262809,0.9097146496330332
8,1.853442141134115e-07,-3.508306581194643e-08,-5.068411883277324,7.040159251773424,2676.927,3.789072960199663,4.027884243494365,3751.2986,3.632286071777003,0.9017847325012558,2.497406005859304,0.6243511438369749,0.909708553982765
9,2.078601120380694e-07,-2.695554145625864e-08,-4.38314295205185,6.857633928608833,2676.9603,3.789076892400021,4.027867908705696,3750.2299,3.632263183594006,0.90178494664724,2.497589111328097,0.624394416809082,0.9097212368680021
10,6.288848203147558e-07,-6.06749897143644e-08,-4.864545899538926,7.143046877941963,2676.9368,3.788996002460487,4.027890609662154,3752.6128,3.632293701171989,0.9017840924207126,2.498321533203182,0.6245789527893069,0.9097122900264784
11,5.842996325337245e-07,-1.783605974252037e-09,-4.479754924827829,6.808666904980488,2676.9897,3.788946637359834,4.027931002737249,3742.8223,3.63232421875,0.9017853024124638,2.497207641601591,0.6243005990982049,0.909700000408998
12,2.198797146899248e-07,-3.951367258564194e-09,-5.010641978453217,6.650953389833425,2676.981,3.788885177023068,4.028199994537347,3740.9714,3.632568359375,0.9017861744214313,2.497467041015597,0.6243652105331421,0.9097224166712805
13,2.191687958109625e-07,-1.911248956783588e-09,-4.753634318242722,6.81516634553921,2676.9329,3.78880009209519,4.028012948573926,3742.3473,3.632400512695,0.9017843158799222,2.496917724609375,0.6242294311523429,0.9097106186385011
14,1.566766478910577e-07,-4.620904065103818e-08,-4.75705388408588,7.191550925925926,2676.9643,3.788776399156037,4.028010583351226,3740.6851,3.632385253906989,0.9017849653027951,2.492599487304716,0.6231491565704339,0.9097165176548907
15,2.895506485465556e-07,-1.5222711390012e-08,-4.898061453774532,6.834983446233787,2676.9281,3.788735358584047,4.027962055288205,3727.5634,3.632339477539006,0.9017851866374262,2.4923095703125,0.6230758428573611,0.9097247762778371
16,1.335610869171343e-07,-1.529549498754961e-08,-3.992082000202134,6.973341473719284,2676.92,3.788656578023697,4.027918293727166,3741.0008,3.632308959960994,0.9017841835157013,2.493011474609318,0.6232552528381352,0.9097108152723794
17,1.715181388324319e-07,1.161015011526362e-08,-4.579624028395336,6.857132299422799,2676.9267,3.788550175015811,4.027887780867556,3737.435,3.632293701171989,0.9017866199428685,2.494812011718693,0.6237025260925291,0.9097087506166434
18,6.946330343209125e-07,-2.009893580836827e-08,-4.52818916481538,6.956458458935398,2676.9405,3.788538623251448,4.027790173031306,3760.3329,3.632202148436988,0.9017847320064901,2.49871826171875,0.6246756315231319,0.9097038347696516
19,2.558231747483938e-07,-4.463965696817558e-08,-4.749327607997643,6.983451450708165,2676.8881,3.788492527277629,4.02779475364158,3754.6942,3.632202148436988,0.9017834143887744,2.499603271484375,0.6248998641967782,0.9097180907259279
20,1.191883014979562e-07,-4.331881427743177e-08,-4.439450756255672,7.397234129247131,2676.9017,3.788527632745011,4.027779046860624,3753.5993,3.632202148438012,0.9017847321811135,2.49951171875,0.624880790710449,0.9097176974581691
21,1.30617144122556e-07,2.930338370654769e-09,-4.820520725790639,7.352298889161916,2676.8863,3.788513578171294,4.027803630860908,3742.6581,3.632202148438012,0.9017848777584729,2.500457763671818,0.6251187324523932,0.9097089472505238
22,2.693506935189774e-07,-5.372617988001154e-08,-5.066999047827912,7.134759270265874,2676.9428,3.788488934391606,4.027925847803504,3754.2613,3.63232421875,0.9017833190737297,2.5013427734375,0.625335216522217,0.9097234981576185
23,2.027171876032775e-07,1.689635064106907e-08,-4.15864852023261,6.825772446022453,2676.9262,3.788556508375919,4.027943163331184,3753.4343,3.632354736328011,0.9017856015416323,2.49658203125,0.624148488044739,0.9097219250865816
24,1.036862061606131e-07,8.624232193042302e-09,-4.467186964738891,7.053704431081237,2676.9636,3.788509373786993,4.027995491935924,3732.1013,3.632354736329034,0.9017839043226563,2.493408203125,0.6233508586883549,0.9097138630975156
25,7.824702322364495e-07,-2.408648226320614e-08,-4.503665236174633,7.003326423236595,2676.9552,3.788491553121844,4.027983013866018,3741.61,3.632385253906989,0.9017858547158542,2.494537353515625,0.6236366033554077,0.9097135681466949
