Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
1,3.748013852499283e-05,-2.062139900232126e-08,-4.867681196974664,1.909148527663423,2840.2355,4.182704549086721,4.022921091230045,4601.559499999999,3.90090953279287,0.9696641617047139,4.16606505215168,0.9919194988906381,0.9884203094797032
2,7.934569854648306e-05,1.415175868963234e-08,-5.106687382244308,7.805067880432783,2841.828,3.776810039945422,4.023479238933465,6149.2556,3.901454925537102,0.9696660729823637,2.721664428710941,0.6804153919219971,0.9884172616545691
3,8.336289545578806e-05,-7.210299941132656e-09,-4.815446746822354,8.009108471831736,2841.6869,3.776100626563689,4.023530124737434,5753.5516,3.901504516601499,0.9696652985003309,2.703231811523423,0.6758072376251221,0.9884079215452846
4,8.190261459485727e-05,-5.689029404978898e-10,-4.854309107268791,7.550642270109373,2840.4303,3.775919858091643,4.023580597790927,5867.187300000001,3.901550292968807,0.9696647196833506,2.708839416503906,0.6772093772888179,0.988418146507027
5,7.88512071493729e-05,3.579193079138629e-08,-4.632088088699653,7.965669175393328,2841.9834,3.775553211552825,4.023626632267767,5848.5672,3.901580810546903,0.9696653884311675,2.709808349609375,0.6774511337280269,0.9884103794687795
6,7.305130688355626e-05,-5.245765811770965e-08,-4.641505210009324,7.921689831653993,2842.6582,3.775508663165785,4.023622737319828,5794.8391,3.901565551757798,0.9696604661585296,2.69964599609375,0.674911260604858,0.9884096912502022
7,7.29069191069151e-05,-3.860742750907485e-09,-4.017375124573348,7.949454948969981,2843.4101,3.775219706818015,4.023763616726143,5804.9313,3.901733398437997,0.9696637932211158,2.703804016113295,0.6759498119354239,0.9884088063977423
8,7.489301175745582e-05,-2.674312688825174e-08,-4.681895230183994,7.803783047690163,2841.1153,3.774914963311954,4.023695660023215,5777.007299999999,3.901687622071009,0.9696681134519163,2.698760986328097,0.674687147140502,0.9884229640370785
9,7.818915320925818e-05,-1.709525121045328e-09,-4.819162872569966,7.810141559520355,2841.1235,3.774926952971111,4.023651770626286,5857.5216,3.901641845702983,0.9696653833088931,2.699783325195284,0.674945354461669,0.988436433457837
10,7.904361507279509e-05,1.223930575678168e-08,-4.965140703475734,7.620310460674643,2842.4721,3.774659129517056,4.023882485810882,5766.005099999999,3.90185546875,0.9696636599255727,2.694931030273409,0.6737308502197261,0.9884228657201404
11,7.74435881658493e-05,3.125958023569807e-08,-5.000931722232806,8.379669599793873,2842.7876,3.774516572717176,4.023757777552732,5849.9522,3.901718139649006,0.9696644511714114,2.700607299804716,0.6751530170440669,0.9884264051299733
12,8.776674797225236e-05,2.255968171735087e-08,-4.974868268502689,7.882615613341163,2842.8843,3.774465443935806,4.02369649207374,5749.1816,3.901657104491989,0.9696650544065046,2.692779541015682,0.6731941699981681,0.9884160818512907
13,7.42686918777382e-05,3.158409649360612e-08,-4.71749904982014,8.214806100441848,2843.9944,3.774365460041107,4.023807611113483,5835.138,3.901763916015,0.9696627329976764,2.698318481445284,0.6745772361755371,0.9884235539387175
14,8.150639954661998e-05,-5.608133295615609e-09,-4.583381079840234,8.537100709131154,2842.2257,3.774170106448388,4.023748482832929,5739.255200000001,3.901702880859006,0.9696631307597271,2.693084716796903,0.673269271850585,0.9884082164961031
15,8.028151934354282e-05,-2.321565579196496e-08,-3.727800052319277,8.15061311553882,2843.1496,3.774104951322168,4.023796430162051,5812.6687,3.901779174805,0.9696660261543004,2.693511962890625,0.673372745513916,0.9884075282775258
16,7.530294532497657e-05,2.89302167844379e-08,-4.726927481190181,8.310008756211758,2842.5642,3.774004440866892,4.023933177004384,5793.536300000001,3.901885986328011,0.9696663369250015,2.692596435546818,0.6731505393981929,0.9884155902665918
