Battery,Cycle,SCC,SCV,DVV,ICP,CCDT,CVCT,ACCV_C,ACCV_D,ECD,ECV,CCD,CCV,SoH,_parsed_date
CS2_36_8_17_10,1,-0.000384671678420855,5.8986119550211e-05,0.118279684543021,8.19050980041589,3746.55434375057,2277.97976318671,3.96026619921055,3.65249054355824,4.18276701631196,11.1619910638102,1.14482045315397,0.11116719921714,1.0,2010-08-17
CS2_36_8_18_10,1,-0.000397743754379368,6.0048391663466e-05,0.138879105963427,7.51869004487959,3712.77301359156,2212.99863543215,3.95479436750923,3.6438220455533,4.14137362052718,10.843925375134,1.13445117378633,0.10748747684047,1.0,2010-08-18
CS2_36_8_19_10,1,-0.000356695940267981,6.0448596011324e-05,0.138116753020623,7.65777222253427,3711.25763150313,2204.3736261602,3.95312764814922,3.64586597586435,4.14236138882173,10.801597771414,1.13395786167908,0.106911068413714,1.0,2010-08-19
CS2_36_8_30_10,1,-0.000359709892361058,6.03800172409156e-05,0.139477608658271,7.61889116809008,3707.7102354256,2201.18607601445,3.95259564232933,3.64472445230635,4.13826519455548,10.7854145709045,1.13288590737274,0.107069401647356,1.0,2010-08-30
CS2_36_8_30_10,2,-0.000366553199587857,6.46956648050159e-05,0.147787596163732,8.93492856503972,3698.15306137218,2225.59259736535,3.94353536212391,3.65822715568542,4.13704995710923,10.9056441343155,1.12997488922096,0.108166831379538,1.0,2010-08-30
CS2_36_8_30_10,3,-0.000429535510118088,6.51050373227208e-05,0.148944971707922,6.80321609313688,3697.0632224282,2052.84915323074,3.94091954655117,3.66398820495605,4.14262893538189,10.0599420247991,1.12963802560247,0.100248541077944,1.0,2010-08-30
CS2_36_8_30_10,4,-0.000394885742029396,6.53488906859879e-05,0.157277820091939,6.54731963595192,3683.31194236712,2016.77250999029,3.93837946759803,3.66040278053284,4.12710381402166,9.88348135797508,1.12543556097724,0.0989867955228843,1.0,2010-08-30
CS2_36_8_30_10,5,-0.000411450981984835,6.52761696466747e-05,0.158938731115519,6.97682517816068,3651.75861263572,2133.39068516534,3.94346702850617,3.64957977302613,4.080092336666,10.4533121300316,1.11577531286943,0.104009230177386,1.0,2010-08-30
CS2_36_8_30_10,6,-0.000373153337122912,6.45874843482447e-05,0.159042916310059,6.522141187561,3641.07103574563,2132.39033863397,3.94469569379633,3.65457390382038,4.06821522510023,10.4487873895637,1.11250392575798,0.104021534882212,1.0,2010-08-30
CS2_36_8_30_10,7,-0.000378202468125327,6.46546212580046e-05,0.162026778162958,6.28031597016713,3633.02433327214,2121.5779619845,3.94584201465953,3.65338874057056,4.06011194372942,10.3955394198518,1.11005152235704,0.103705472641273,1.0,2010-08-30
CS2_36_8_30_10,8,-0.000416471496441391,6.46878455538716e-05,0.165678793990461,6.69338584184723,3621.35180368688,2116.18720080392,3.94547781770088,3.64872709522402,4.0453050623303,10.3689067981831,1.10647378013938,0.103269693013158,1.0,2010-08-30
CS2_36_8_30_10,9,-0.000385611692940404,6.43798655297295e-05,0.165720899036592,6.7020623430424,3638.32652542143,2067.80017349357,3.9470997651418,3.66316634852712,4.07549770218777,10.1330817245504,1.11167635068664,0.101780073216969,1.0,2010-08-30
CS2_36_8_30_10,10,-0.000404541113098882,6.55281072273032e-05,0.16671583179145,6.17822817728445,3642.93857734391,1995.52153872112,3.9411348552186,3.66011450752135,4.08471114827391,9.77914811776731,1.11308969992286,0.0984686300207701,1.0,2010-08-30
CS2_36_8_30_10,11,-0.000401490050917684,6.57988268457376e-05,0.172402220971147,6.16020642150094,3643.28407611317,1962.41344464358,3.9391831240503,3.66203466730733,4.0872110961603,9.61694783167823,1.113212492194,0.0966254918803718,1.0,2010-08-30
