SCC,SCV,DVV,ICP,CCDT,CVCT,ACCV C,ACCV D,ECD,ECV,CCD,CCV,SoH
-0.038064,0.021148,0.559171,2.358306,19.998730,12.083587,3.459552,2.741080,177.976840,8.375148,1.068039,0.041868,0.969924
-0.037605,0.017764,0.513538,2.119431,19.998822,11.416613,3.447521,2.749441,178.537063,6.671175,1.071700,0.033180,0.973154
-0.034394,0.017190,0.463893,2.787573,19.998715,11.250022,3.447036,2.757882,178.819207,6.287760,1.072925,0.031349,0.974236
-0.039353,0.017318,0.407169,1.853625,19.998610,11.166823,3.450108,2.771741,179.052044,6.225178,1.073944,0.030913,0.975273
-0.037999,0.017536,0.406254,2.299895,19.998602,11.166787,3.447666,2.755097,179.100875,6.265109,1.074378,0.031112,0.975456
-0.037055,0.017457,0.409727,1.989919,19.998743,11.083492,3.447066,2.732750,179.145216,6.054165,1.074622,0.030143,0.975935
-0.035514,0.017590,0.427972,2.083985,19.989618,11.000182,3.448815,2.741300,179.213948,5.810110,1.074921,0.029053,0.976224
-0.034451,0.016833,0.375102,2.438169,19.998572,11.000078,3.445763,2.750484,179.070776,5.818580,1.074898,0.029020,0.976209
-0.034921,0.016712,0.412507,1.896443,19.902852,11.000037,3.446275,2.739004,179.149687,5.834708,1.074979,0.029093,0.976287
-0.037289,0.016989,0.409965,3.106446,19.952037,10.999845,3.447832,2.747438,179.203443,5.887739,1.075209,0.029246,0.976482
-0.035551,0.017159,0.434188,2.894217,19.810263,11.000138,3.446934,2.755261,179.073456,5.848332,1.075036,0.029160,0.976401
-0.038451,0.017035,0.437621,2.536308,19.787737,11.000052,3.448813,2.760800,179.154943,5.891728,1.075195,0.029246,0.976496
-0.033900,0.016875,0.430931,2.088201,19.788942,10.916722,3.446841,2.754250,179.276473,5.615793,1.075376,0.028053,0.976669
-0.037769,0.017048,0.418912,1.922763,19.734608,10.999827,3.445272,2.748500,179.151515,5.926535,1.075312,0.029404,0.976681
-0.034044,0.017133,0.429871,2.263314,19.752945,10.916682,3.446390,2.755269,179.202904,5.642962,1.075485,0.028129,0.976755
-0.036372,0.016277,0.438328,2.149326,19.822575,10.916622,3.444580,2.744226,179.282718,5.653064,1.075578,0.028182,0.976874
-0.037103,0.016761,0.427574,2.926529,19.686645,10.916703,3.447006,2.759579,179.143010,5.636883,1.075439,0.028126,0.976738
-0.033699,0.016319,0.378573,1.907477,19.755395,10.916772,3.444356,2.776303,179.259127,5.693561,1.075710,0.028259,0.976957
-0.036930,0.016493,0.421857,2.047350,19.802733,10.916802,3.444911,2.759395,179.271513,5.735066,1.075923,0.028425,0.977125
-0.035523,0.016808,0.437023,2.728421,19.905545,10.916613,3.447486,2.741498,179.143618,5.677244,1.075646,0.028242,0.976920
-0.037639,0.016222,0.383665,2.309094,19.723137,10.916557,3.445392,2.747310,179.246726,5.718793,1.075850,0.028357,0.977065
-0.035003,0.016749,0.402839,2.250402,19.738822,10.916677,3.446288,2.749609,179.182541,5.718251,1.075865,0.028409,0.977113
-0.034571,0.016993,0.438787,2.758419,19.872863,10.916612,3.447374,2.749184,179.026173,5.651870,1.075622,0.028190,0.976891
-0.036906,0.016441,0.413832,2.067487,19.630387,10.916905,3.444927,2.755719,179.094565,5.677707,1.075721,0.028290,0.976996
-0.038342,0.016428,0.366187,2.219917,19.779482,10.916652,3.444483,2.763997,178.975799,5.681832,1.075730,0.028237,0.976971
-0.035432,0.016371,0.448356,2.907175,19.784825,10.916570,3.443094,2.755805,179.011624,5.678599,1.075710,0.028235,0.976947
-0.035480,0.016239,0.318519,2.747895,19.643785,10.916690,3.444702,2.768826,179.086905,5.711086,1.075852,0.028308,0.977090
-0.036765,0.016792,0.400914,2.526448,19.717287,10.916827,3.445435,2.777283,178.972460,5.709648,1.075807,0.028331,0.977059
-0.035146,0.017350,0.403312,4.748724,19.780528,10.916580,3.446696,2.754545,178.996827,5.711145,1.075841,0.028338,0.977057
-0.037631,0.016694,0.452441,2.096026,19.735452,10.916693,3.443433,2.760570,179.007650,5.722304,1.075863,0.028377,0.977097
-0.034997,0.017039,0.424428,2.356014,19.745527,10.916693,3.443607,2.748292,178.785795,5.642256,1.075573,0.028069,0.976803
-0.035845,0.016548,0.401574,3.174802,19.704367,10.916785,3.445450,2.756779,178.910107,5.677671,1.075668,0.028155,0.976917
-0.036307,0.016608,0.406690,2.327295,19.523802,10.916772,3.445060,2.752662,178.942678,5.703363,1.075750,0.028254,0.976998
-0.034454,0.016861,0.458078,2.450304,19.673572,10.916612,3.445037,2.773664,178.715781,5.608848,1.075380,0.027911,0.976618
-0.034248,0.016403,0.435252,5.276532,19.593328,10.916745,3.444958,2.770012,178.812292,5.665308,1.075606,0.028082,0.976846
-0.036475,0.016441,0.376631,2.474422,19.675955,10.916837,3.444500,2.763392,178.798365,5.667730,1.075620,0.028126,0.976867
-0.034913,0.017186,0.423881,1.970015,19.617375,10.916722,3.448109,2.747832,178.683634,5.620610,1.075390,0.027936,0.976651
-0.035875,0.016649,0.449690,2.778898,19.680398,10.916703,3.445418,2.754016,178.833605,5.699627,1.075720,0.028187,0.976933
-0.034816,0.016597,0.393636,1.949061,19.669212,10.916627,3.444696,2.752472,178.809356,5.683848,1.075643,0.028167,0.976910
-0.035892,0.016199,0.377417,2.422696,19.636368,10.916588,3.445832,2.756345,178.687472,5.646036,1.075477,0.028045,0.976786
-0.035183,0.016724,0.431150,2.634734,19.620323,10.916893,3.445593,2.744708,178.778701,5.674259,1.075617,0.028133,0.976878
-0.033580,0.016706,0.413346,2.080280,19.606413,10.833572,3.446218,2.751837,178.668461,5.374110,1.075633,0.026785,0.976903
-0.037107,0.016587,0.406783,2.378251,19.597112,10.916833,3.448002,2.760613,178.628482,5.624780,1.075451,0.027961,0.976711
-0.034837,0.016674,0.435864,2.223613,19.657537,10.916738,3.443917,2.759476,178.669240,5.679737,1.075621,0.028065,0.976854
-0.036290,0.016881,0.375801,2.715150,19.601830,10.916623,3.445658,2.759997,178.514746,5.658507,1.075456,0.027994,0.976742
-0.034776,0.016611,0.408964,2.777248,19.624073,10.916612,3.444363,2.740598,178.502404,5.599270,1.075352,0.027832,0.976594
-0.034312,0.016555,0.341174,4.249442,19.672090,10.916520,3.445383,2.755399,178.556965,5.618984,1.075402,0.027890,0.976658
-0.036430,0.016369,0.420868,2.237243,19.560582,10.916645,3.444643,2.740783,178.348193,5.585154,1.075195,0.027708,0.976533
-0.036575,0.016603,0.433235,2.308191,19.634237,10.916643,3.446480,2.735527,178.351602,5.546302,1.075123,0.027637,0.976393
-0.035254,0.015901,0.436608,2.424580,19.623757,10.916712,3.444717,2.750159,178.405396,5.563721,1.075187,0.027652,0.976451
-0.034633,0.016249,0.395117,2.680273,19.581783,10.916740,3.443989,2.769752,178.234297,5.542908,1.074981,0.027562,0.976338
-0.036222,0.017066,0.442428,1.878363,19.595163,10.916680,3.448285,2.757171,178.341095,5.549391,1.075056,0.027573,0.976356
-0.035173,0.016542,0.410730,2.119649,19.608920,10.916678,3.445700,2.735875,178.298888,5.540422,1.075088,0.027592,0.976365
-0.034129,0.017015,0.436100,2.778846,19.523915,10.916757,3.448154,2.755797,178.098587,5.489404,1.074714,0.027324,0.976101
-0.034898,0.017397,0.448257,2.296981,19.545667,10.916772,3.448279,2.749939,178.240607,5.503651,1.074865,0.027417,0.976195
-0.036361,0.016202,0.418746,2.386936,19.612452,10.916812,3.444503,2.744973,178.276114,5.520409,1.074906,0.027405,0.976179
-0.036082,0.016985,0.472721,1.866199,19.513878,10.999953,3.445631,2.763465,177.971724,5.754002,1.074467,0.028521,0.975846
-0.033304,0.016761,0.407472,2.845380,19.538248,10.916638,3.446339,2.751594,178.045806,5.469265,1.074566,0.027179,0.975921
-0.034142,0.016532,0.399208,2.169686,19.507560,10.916668,3.444520,2.765142,178.110019,5.450348,1.074520,0.027101,0.975903
-0.033922,0.016791,0.419263,3.418821,19.500230,11.000005,3.447338,2.757842,177.900718,5.712846,1.074277,0.028289,0.975646
-0.036095,0.017060,0.404511,2.004659,19.565315,10.916798,3.446206,2.734699,178.047241,5.435878,1.074485,0.027073,0.975834
-0.033255,0.016404,0.413700,2.468221,19.521660,10.916845,3.443217,2.754100,178.032301,5.456298,1.074533,0.027123,0.975944
-0.038058,0.017005,0.427366,2.474519,19.433038,11.000183,3.445953,2.755180,177.842568,5.700093,1.074206,0.028283,0.975617
-0.030933,0.016504,0.421746,2.242939,19.510357,10.916650,3.444890,2.745012,177.890815,5.395604,1.074177,0.026890,0.975622
-0.034130,0.016591,0.445528,2.085208,19.480250,10.916837,3.446403,2.758724,177.809541,5.399237,1.074142,0.026837,0.975601
-0.039765,0.017155,0.457625,2.689178,19.502075,11.000010,3.446301,2.740423,177.805690,5.660330,1.074017,0.028076,0.975441
-0.032583,0.016633,0.419011,1.964891,19.577317,10.916878,3.445483,2.745541,177.906676,5.384096,1.074155,0.026828,0.975599
-0.034409,0.016798,0.405380,1.808186,19.508742,10.916782,3.448690,2.761977,177.757892,5.377162,1.074002,0.026751,0.975564
-0.036192,0.017047,0.466001,2.382322,19.437637,10.999572,3.448854,2.743511,177.758701,5.641211,1.073895,0.027976,0.975357
-0.034484,0.016377,0.424528,2.705102,19.473825,10.916770,3.447009,2.751564,177.839573,5.344892,1.073905,0.026609,0.975384
-0.035341,0.017358,0.457012,2.958583,19.475067,11.000132,3.450076,2.756925,177.567325,5.597829,1.073657,0.027754,0.975154
-0.034871,0.017379,0.400695,2.930114,19.426742,11.000078,3.450893,2.739673,177.626367,5.587380,1.073572,0.027653,0.975073
-0.033701,0.016918,0.449124,1.847327,19.447932,10.999960,3.447745,2.756322,177.668305,5.592840,1.073610,0.027691,0.975083
-0.032242,0.016384,0.466874,2.071842,19.483427,11.000072,3.446816,2.740611,177.426846,5.517700,1.073350,0.027459,0.974851
-0.037043,0.016730,0.453993,2.521797,19.485788,11.000030,3.446399,2.736779,177.563758,5.523438,1.073366,0.027446,0.974858
-0.035464,0.017264,0.408387,2.989437,19.414825,11.000162,3.449592,2.754459,177.615415,5.550591,1.073325,0.027490,0.974953
-0.033709,0.017324,0.456506,2.241198,19.448317,11.000095,3.448887,2.754391,177.334249,5.482611,1.073078,0.027217,0.974651
-0.035841,0.016762,0.456136,2.218266,19.392465,11.000012,3.447052,2.757741,177.419170,5.472661,1.073021,0.027200,0.974638
-0.034466,0.016325,0.468323,2.310696,19.446253,11.000122,3.445743,2.752029,177.438515,5.474716,1.073052,0.027161,0.974610
-0.033492,0.017495,0.335574,2.045562,19.393102,10.999930,3.449750,2.759734,177.194822,5.399401,1.072621,0.026892,0.974225
-0.033496,0.017235,0.466872,1.854335,19.430410,11.000223,3.448521,2.763573,177.316633,5.407614,1.072762,0.026945,0.974346
-0.031036,0.017082,0.473675,2.109906,19.471225,11.000227,3.447769,2.758184,177.258897,5.408242,1.072709,0.026902,0.974271
-0.035611,0.017485,0.330413,3.029960,19.427250,11.083365,3.449780,2.741696,177.067426,5.647212,1.072335,0.027985,0.973965
-0.034070,0.017268,0.430229,2.053827,19.556343,11.083485,3.449005,2.744229,177.120129,5.581492,1.072374,0.027680,0.973703
