Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
1,-5.809604812721988e-07,-2.606956060747488e-08,-4.497078695166604,7.970904154866584,2792.8291,3.933160136505466,4.023077985262479,6859.108099999999,3.836694888886993,0.9536663776671046,5.947107315063478,1.415977001190185,0.9729507288981959
2,3.103253374693007e-05,-3.073943950480624e-08,-4.772528637391987,8.544100062943329,2793.276,3.757148612774672,4.024043272390348,3816.0078,3.8376159667969,0.9536650129884952,1.267246246337891,0.316811084747314,0.972947681073062
3,2.958371680018753e-05,5.67357081474928e-08,-3.743327016014858,8.905447519812208,2794.4507,3.757790904709427,4.024142429552365,4029.9738,3.837703704834006,0.953662043932127,1.27503967285157,0.3187606334686284,0.9729513187998351
4,3.010089151951553e-05,2.578882121494377e-08,-4.992163665494566,9.083520011593853,2793.4478,3.75678595093893,4.024135716016903,4012.3456,3.837696075439503,0.9536636984848881,1.273757934570312,0.3184387683868413,0.9729482709746989
5,3.037381999384961e-05,6.564172468528113e-08,-4.689961249035676,8.491901243803468,2794.2887,3.756652537172131,4.024282938591571,3977.1707,3.837844848632798,0.953664419270353,1.270957946777344,0.3177394866943364,0.9729424702752496
6,3.154094657493595e-05,-8.372695555720892e-09,-4.585644197165974,8.535683131341353,2794.4096,3.756342039055563,4.024202095336668,4043.553,3.837776184082003,0.9536647758213802,1.272216796875,0.3180527687072754,0.972956726231526
7,3.16993898834366e-05,6.304159687760235e-08,-4.848995921103341,8.613830473192058,2793.9957,3.756186678352305,4.024153843847285,3918.0741,3.837692260742003,0.9536605220055204,1.267135620117102,0.3167839050292973,0.9729427652260701
8,3.057786600454339e-05,3.788221398223044e-08,-4.479459339199347,8.4761631537576,2794.0119,3.756101736943404,4.023943534395384,3990.1939,3.837532043457003,0.9536641593731479,1.269821166992188,0.3174571990966792,0.9729397174009342
9,2.976453460264454e-05,1.140052824556125e-08,-5.007016853564174,8.586414736249203,2793.2745,3.756105536948615,4.023891172426118,3889.8071,3.837478637695,0.9536656448035499,1.263397216796903,0.3158497810363774,0.9729509255320764
10,3.116632847471774e-05,5.163514657122941e-08,-4.99036033263573,8.854726533162587,2793.17,3.755884025747996,4.023892369637123,4007.8772,3.837448120116989,0.9536610664217731,1.269424438476506,0.3173549175262451,0.972949745728798
11,3.171700238726689e-05,2.746962506396162e-08,-5.019008384374445,8.721432745397301,2795.2282,3.755981847219796,4.023930183767974,4027.2199,3.837509155272983,0.9536647994827946,1.271499633789119,0.317873477935791,0.9729481726577609
12,3.065741711020823e-05,3.293432086976881e-08,-4.814077487854599,8.893492852904979,2793.9003,3.755695171658501,4.023966335951749,4032.2419,3.837524414063012,0.9536622169543988,1.26904296875,0.3172609806060791,0.9729380460129567
13,2.95605180344448e-05,-1.165312858354997e-08,-5.107919568792455,8.878005438900605,2793.5251,3.755558409655711,4.023843468067258,4051.0047,3.837417602539006,0.9536643194733184,1.271347045898409,0.3178379535675053,0.9729511221659547
14,2.93024787623677e-05,3.367794762947843e-08,-4.739384363048119,8.459320659694022,2796.6595,3.755619215113276,4.023958381795304,4049.3984,3.837524414062017,0.9536617345293057,1.269836425781307,0.3174600601196294,0.9729545632588495
15,2.97585584749316e-05,-1.269328085262107e-08,-4.62711527526009,8.217636866056589,2794.9685,3.755438573375562,4.024068759575763,4038.3566,3.837646484375,0.9536663032777137,1.267242431640682,0.316805362701416,0.9729490575102185
16,3.262332158625662e-05,6.733829799319018e-09,-5.122744202042263,9.220501679789283,2794.7175,3.755316284965952,4.024056845468513,3965.482,3.837615966797046,0.9536648297216744,1.263977050781307,0.3159992694854732,0.9729636084173136
17,2.939265139630031e-05,2.712952904141034e-08,-4.950172754191258,8.40851123169904,2794.4857,3.754265889473968,4.024133132165765,3945.8828,3.837677001952954,0.953663003165275,1.2587890625,0.3146970272064213,0.9729488608763381
18,2.938622898134885e-05,-6.199196731123552e-08,-4.738130856649872,8.503811220016878,2794.0081,3.755070854587752,4.024057873414139,3915.1865,3.837615966796989,0.9536641767772377,1.257995605468807,0.3144986629486084,0.9729552514774289
19,3.030209698803693e-05,6.280770953284e-08,-4.641012245523147,9.017799699305215,2794.0173,3.754994983100772,4.024115587849815,3898.5004,3.837677001954034,0.9536624146276149,1.255676269531193,0.3139238357543941,0.9729450265156846
